text,labels,urls,lang
GoNoodle | Home. Get Your Kids Moving & Practicing Mindfulness with GoNoodle®. Start Watching Now & Get Access to Hundreds of Videos! Active Learning. Healthy Kids. Active Kids. Boost Learning.,1.0,https://www.gonoodle.com/,en
"Portal das Matrículas. Bem-vindo ao Portal das Matrículas, um serviço do Ministério da Educação que permite efetuar pedidos de matrícula, renovação de matrícula e pedidos de transferência de escola na educação pré-escolar e nos ensinos básico e secundário em estabelecimentos de ensino públicos do Ministério da Educação, privados e IPSS ou equiparados.",1.0,https://portaldasmatriculas.edu.gov.pt,pt
COLORIR-ONLINE. Jogos para colorir online e desenhos para imprimir e colorir. COLORIR-ONLINE. Jogos para colorir online e desenhos para imprimir e colorir. Jogos educativos para crianças pequenas.,1.0,https://www.colorir-online.com,pt
"StoryJumper: #1 rated site for creating story books. Easiest way to create, narrate, and publish your own hardcover and paperback books. Read and listen to books from our worldwide community.",1.0,https://www.storyjumper.com/,en
Episodes dessin animé en streaming illimité - BoingTV. Tes dessins animés préférés t'attendent sur BoingTV. Viens regarder les épisodes de tes dessins animés et t'amuser en ligne avec les jeux de tes héros.,1.0,http://www.boingtv.fr/,fr
"Printable Worksheets For Kids Print And Practice Homeschool Worksheets. PrintNPractice free printable worksheets help kids practice math, phonics, grammar, and handwriting. Interactive homeschool worksheets by subject. Tutor in a download. Parents and homeschool grandparents. Homeschool kindergarten - 5th grade worksheets.",1.0,https://www.printnpractice.com,en
"IXL | Math, Language Arts, Science, Social Studies, and Spanish. IXL is the world's most popular subscription-based learning site for K–12. Used by over 13 million students, IXL provides personalized learning in more than 8,500 topics, covering math, language arts, science, social studies, and Spanish. Interactive questions, awards, and certificates keep kids motivated as they master skills.",1.0,https://www.ixl.com/,en
www.teensup.net. ,1.0,https://www.teensup.net/,en
BVB-KidsClub. ,1.0,https://kidsclub.bvb.de,da
Home - Moet Ik Naar De Dokter. Meteen weten of u naar de dokter moet? Bij ons krijgt u direct betrouwbaar advies.,1.0,https://www.moetiknaardedokter.nl,nl
"Jogos Friv - Melhores Jogos Online! [FRIV JOGOS ONLINE]. Jogos Friv para jogar online. Melhores e mais populares Jogos de Friv. Jogue os mais famosos: JOGOS FRIV 2, 360, FRIV JOGOS ONLINE, JOGO FRIV 4.",1.0,http://www.frivjogosonline.com.br,pt
"MarcoPolo Learning. Inspire a lifelong love for learning with educational games and videos covering science, math, literacy, art and more!",1.0,https://www.marcopololearning.com/,en
juki | kindersache. Das Internetangebot für Kinder,1.0,http://juki.de,de
